,일자,군구,유동인구수
879,20190405,광진구,6810950
880,20190405,마포구,8461020
881,20190405,서초구,10844090
882,20190405,양천구,7465270
883,20190405,중랑구,6783610
884,20190405,용산구,5408350
885,20190405,강동구,7670090
886,20190405,성동구,6303900
887,20190405,송파구,12464210
888,20190405,노원구,9235160
889,20190405,종로구,6118790
890,20190405,금천구,5608740
891,20190405,서대문구,6207220
892,20190405,구로구,8497620
893,20190405,동대문구,7049000
894,20190405,중구,6676800
895,20190405,관악구,9085000
896,20190405,도봉구,5429430
897,20190405,강북구,5475030
898,20190405,성북구,7932400
899,20190405,강서구,10319500
900,20190406,강남구,12702300
901,20190406,동작구,7523460
902,20190406,영등포구,8908450
903,20190406,은평구,8186560
904,20190406,광진구,7148830
905,20190406,마포구,8096780
906,20190406,서초구,9411360
907,20190406,양천구,7879880
908,20190406,중랑구,7124360
909,20190406,용산구,5073070
910,20190406,강동구,7901490
911,20190406,성동구,5821480
912,20190406,송파구,12529570
913,20190406,노원구,9660000
914,20190406,종로구,4789690
915,20190406,금천구,4830800
916,20190406,서대문구,6051410
917,20190406,구로구,8261980
918,20190406,동대문구,6934960
919,20190406,중구,4328980
920,20190406,관악구,9591710
921,20190406,도봉구,5768240
922,20190406,강북구,5790870
923,20190406,성북구,7971630
924,20190406,강서구,10484410
925,20190407,강남구,11628780
926,20190407,동작구,7538780
927,20190407,영등포구,9181310
928,20190407,은평구,8377270
929,20190407,광진구,7274230
930,20190407,마포구,7780750
931,20190407,서초구,8852810
932,20190407,양천구,8081140
933,20190407,중랑구,7312760
934,20190407,용산구,4941470
935,20190407,강동구,8019050
936,20190407,성동구,5711420
937,20190407,송파구,12620440
938,20190407,노원구,9880980
939,20190407,종로구,4314300
940,20190407,금천구,4842010
941,20190407,서대문구,5960280
942,20190407,구로구,8340520
943,20190407,동대문구,6961430
944,20190407,중구,3697720
945,20190407,관악구,9760370
946,20190407,도봉구,6022350
947,20190407,강북구,5954420
948,20190407,성북구,8100550
949,20190407,강서구,10530150
950,20190408,강남구,15378200
951,20190408,동작구,7522990
952,20190408,영등포구,10281850
953,20190408,은평구,7652940
954,20190408,광진구,6845450
955,20190408,마포구,8320760
956,20190408,서초구,10711120
957,20190408,양천구,7491460
958,20190408,중랑구,6831860
959,20190408,용산구,5307530
960,20190408,강동구,7643380
961,20190408,성동구,6334730
962,20190408,송파구,12406030
963,20190408,노원구,9309240
964,20190408,종로구,6034370
965,20190408,금천구,5718430
966,20190408,서대문구,6316180
967,20190408,구로구,8582590
968,20190408,동대문구,7161390
969,20190408,중구,6698250
970,20190408,관악구,9160290
971,20190408,도봉구,5502460
972,20190408,강북구,5481650
973,20190408,성북구,8099900
974,20190408,강서구,10342390
975,20190409,강남구,15527320
976,20190409,동작구,7530690
977,20190409,영등포구,10113990
978,20190409,은평구,7622180
979,20190409,광진구,6812970
980,20190409,마포구,8354110
981,20190409,서초구,10770230
982,20190409,양천구,7453920
